parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 124 solutions found
EXPR: 1 | POS | INT | 0 | 12 | 12 | (1*12)=x | 1 12 * x = | 1:dozen 12:bird *:bird x:bird =:bird
EXPR: 1 | POS | INT | 0 | 12 | 12 | x=(1*12) | x 1 12 * = | x:bird 1:dozen 12:bird *:bird =:bird
EXPR: 1 | POS | INT | 1 | 12 | 12 | (1*12)=x | 1 12 * x = | 1:dozen 12:bird *:bird x:bird =:bird
EXPR: 1 | POS | INT | 1 | 12 | 12 | x=(1*12) | x 1 12 * = | x:bird 1:dozen 12:bird *:bird =:bird
EXPR: 1 | POS | INT | 2 | 12 | 12 | (1*x)=12 | 1 x * 12 = | 1:dozen x:bird *:bird 12:bird =:bird
EXPR: 1 | POS | INT | 2 | 12 | 12 | (x*1)=12 | x 1 * 12 = | x:bird 1:dozen *:bird 12:bird =:bird
EXPR: 1 | POS | INT | 4 | 12 | 12 | 12=(x*1) | 12 x 1 * = | 12:bird x:bird 1:dozen *:bird =:bird
EXPR: 1 | POS | INT | 4 | 12 | 12 | 12=(1*x) | 12 1 x * = | 12:bird 1:dozen x:bird *:bird =:bird
EXPR: 0 | POS | INT | 10 | 12 | 13 | (1+12)=x | 1 12 + x = | 1:bird 12:bird +:bird x:bird =:bird
EXPR: 0 | POS | INT | 10 | 12 | 13 | x=(1+12) | x 1 12 + = | x:bird 1:bird 12:bird +:bird =:bird
EXPR: 1 | POS | INT | 10 | 12 | 12 | (1*12)=x | 1 12 * x = | 1:dozen 12:bird *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 12 | 12 | x=(1*12) | x 1 12 * = | x:dozen 1:dozen 12:bird *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 12 | 13 | (1+12)=x | 1 12 + x = | 1:bird 12:bird +:bird x:bird =:bird
EXPR: 1 | POS | INT | 11 | 12 | 12 | (1*12)=x | 1 12 * x = | 1:dozen 12:bird *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 12 | 12 | x=(1*12) | x 1 12 * = | x:dozen 1:dozen 12:bird *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 12 | 13 | x=(1+12) | x 1 12 + = | x:bird 1:bird 12:bird +:bird =:bird
EXPR: 0 | POS | INT | 12 | 12 | 11 | x=(12-1) | x 12 1 - = | x:bird 12:bird 1:bird -:bird =:bird
EXPR: 1 | POS | INT | 12 | 12 | 12 | (x*1)=12 | x 1 * 12 = | x:bird 1:dozen *:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 12 | 11 | (12-1)=x | 12 1 - x = | 12:bird 1:bird -:bird x:bird =:bird
EXPR: 0 | POS | INT | 12 | 12 | 13 | (x-1)=12 | x 1 - 12 = | x:bird 1:bird -:bird 12:bird =:bird
EXPR: 0 | POS | INT | 12 | 12 | 13 | 1=(x-12) | 1 x 12 - = | 1:bird x:bird 12:bird -:bird =:bird
EXPR: 0 | POS | INT | 12 | 12 | 11 | (1+x)=12 | 1 x + 12 = | 1:bird x:bird +:bird 12:bird =:bird
EXPR: 0 | POS | INT | 12 | 12 | 11 | (x+1)=12 | x 1 + 12 = | x:bird 1:bird +:bird 12:bird =:bird
EXPR: 1 | POS | INT | 12 | 12 | 12 | 1=(12/x) | 1 12 x / = | 1:dozen 12:dozen x:bird /:dozen =:dozen
EXPR: 1 | POS | INT | 12 | 12 | 12 | 1=(x/12) | 1 x 12 / = | 1:dozen x:dozen 12:bird /:dozen =:dozen
EXPR: 1 | POS | INT | 12 | 12 | 12 | (1*x)=12 | 1 x * 12 = | 1:dozen x:bird *:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 12 | 11 | 1=(12-x) | 1 12 x - = | 1:bird 12:bird x:bird -:bird =:bird
EXPR: 0 | POS | INT | 13 | 12 | 11 | x=(12-1) | x 12 1 - = | x:bird 12:bird 1:bird -:bird =:bird
EXPR: 0 | POS | INT | 13 | 12 | 11 | (12-1)=x | 12 1 - x = | 12:bird 1:bird -:bird x:bird =:bird
EXPR: 0 | POS | INT | 14 | 12 | 11 | (12-x)=1 | 12 x - 1 = | 12:bird x:bird -:bird 1:bird =:bird
EXPR: 0 | POS | INT | 14 | 12 | 13 | (x-12)=1 | x 12 - 1 = | x:bird 12:bird -:bird 1:bird =:bird
EXPR: 1 | POS | INT | 14 | 12 | 12 | (12/x)=1 | 12 x / 1 = | 12:dozen x:bird /:dozen 1:dozen =:dozen
EXPR: 1 | POS | INT | 14 | 12 | 12 | 12=(1*x) | 12 1 x * = | 12:dozen 1:dozen x:bird *:dozen =:dozen
EXPR: 1 | POS | INT | 14 | 12 | 12 | 12=(x*1) | 12 x 1 * = | 12:dozen x:bird 1:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 14 | 12 | 12 | (x/12)=1 | x 12 / 1 = | x:dozen 12:bird /:dozen 1:dozen =:dozen
EXPR: 0 | POS | INT | 14 | 12 | 11 | 12=(1+x) | 12 1 x + = | 12:bird 1:bird x:bird +:bird =:bird
EXPR: 0 | POS | INT | 14 | 12 | 11 | 12=(x+1) | 12 x 1 + = | 12:bird x:bird 1:bird +:bird =:bird
EXPR: 0 | POS | INT | 14 | 12 | 13 | 12=(x-1) | 12 x 1 - = | 12:bird x:bird 1:bird -:bird =:bird
EXPR: 1 | POS | INT | 20 | 12 | 12 | (1*12)=x | 1 12 * x = | 1:bird 12:dozen *:bird x:bird =:bird
EXPR: 0 | POS | INT | 20 | 12 | 13 | (1+12)=x | 1 12 + x = | 1:dozen 12:dozen +:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 20 | 12 | 13 | x=(1+12) | x 1 12 + = | x:dozen 1:dozen 12:dozen +:dozen =:dozen
EXPR: 1 | POS | INT | 20 | 12 | 12 | x=(1*12) | x 1 12 * = | x:bird 1:bird 12:dozen *:bird =:bird
EXPR: 0 | POS | INT | 21 | 12 | 13 | (1+12)=x | 1 12 + x = | 1:dozen 12:dozen +:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 21 | 12 | 13 | x=(1+12) | x 1 12 + = | x:dozen 1:dozen 12:dozen +:dozen =:dozen
EXPR: 1 | POS | INT | 21 | 12 | 12 | x=(1*12) | x 1 12 * = | x:bird 1:bird 12:dozen *:bird =:bird
EXPR: 1 | POS | INT | 21 | 12 | 12 | (1*12)=x | 1 12 * x = | 1:bird 12:dozen *:bird x:bird =:bird
EXPR: 1 | POS | INT | 22 | 12 | 12 | 1=(12/x) | 1 12 x / = | 1:bird 12:bird x:dozen /:bird =:bird
EXPR: 0 | POS | INT | 22 | 12 | 11 | x=(12-1) | x 12 1 - = | x:dozen 12:dozen 1:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 12 | 13 | (x-1)=12 | x 1 - 12 = | x:dozen 1:dozen -:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 12 | 11 | (12-1)=x | 12 1 - x = | 12:dozen 1:dozen -:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 22 | 12 | 12 | (1*x)=12 | 1 x * 12 = | 1:bird x:dozen *:bird 12:bird =:bird
EXPR: 1 | POS | INT | 22 | 12 | 12 | (x*1)=12 | x 1 * 12 = | x:dozen 1:bird *:bird 12:bird =:bird
EXPR: 1 | POS | INT | 22 | 12 | 12 | 1=(x/12) | 1 x 12 / = | 1:bird x:bird 12:dozen /:bird =:bird
EXPR: 0 | POS | INT | 22 | 12 | 13 | 1=(x-12) | 1 x 12 - = | 1:dozen x:dozen 12:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 12 | 11 | 1=(12-x) | 1 12 x - = | 1:dozen 12:dozen x:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 12 | 11 | (x+1)=12 | x 1 + 12 = | x:dozen 1:dozen +:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 12 | 11 | (1+x)=12 | 1 x + 12 = | 1:dozen x:dozen +:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 23 | 12 | 11 | (12-1)=x | 12 1 - x = | 12:dozen 1:dozen -:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 23 | 12 | 11 | x=(12-1) | x 12 1 - = | x:dozen 12:dozen 1:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 12 | 11 | (12-x)=1 | 12 x - 1 = | 12:dozen x:dozen -:dozen 1:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 12 | 13 | (x-12)=1 | x 12 - 1 = | x:dozen 12:dozen -:dozen 1:dozen =:dozen
EXPR: 1 | POS | INT | 24 | 12 | 12 | 12=(x*1) | 12 x 1 * = | 12:bird x:dozen 1:bird *:bird =:bird
EXPR: 1 | POS | INT | 24 | 12 | 12 | (12/x)=1 | 12 x / 1 = | 12:bird x:dozen /:bird 1:bird =:bird
EXPR: 1 | POS | INT | 24 | 12 | 12 | 12=(1*x) | 12 1 x * = | 12:bird 1:bird x:dozen *:bird =:bird
EXPR: 1 | POS | INT | 24 | 12 | 12 | (x/12)=1 | x 12 / 1 = | x:bird 12:dozen /:bird 1:bird =:bird
EXPR: 0 | POS | INT | 24 | 12 | 11 | 12=(1+x) | 12 1 x + = | 12:dozen 1:dozen x:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 12 | 11 | 12=(x+1) | 12 x 1 + = | 12:dozen x:dozen 1:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 12 | 13 | 12=(x-1) | 12 x 1 - = | 12:dozen x:dozen 1:dozen -:dozen =:dozen
EXPR: 1 | POS | INT | 30 | 12 | 12 | (1*12)=x | 1 12 * x = | 1:bird 12:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 30 | 12 | 12 | x=(1*12) | x 1 12 * = | x:dozen 1:bird 12:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 31 | 12 | 12 | (1*12)=x | 1 12 * x = | 1:bird 12:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 31 | 12 | 12 | x=(1*12) | x 1 12 * = | x:dozen 1:bird 12:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 12 | 12 | (1*x)=12 | 1 x * 12 = | 1:bird x:dozen *:dozen 12:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 12 | 12 | (x*1)=12 | x 1 * 12 = | x:dozen 1:bird *:dozen 12:dozen =:dozen
EXPR: 1 | POS | INT | 34 | 12 | 12 | 12=(1*x) | 12 1 x * = | 12:dozen 1:bird x:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 34 | 12 | 12 | 12=(x*1) | 12 x 1 * = | 12:dozen x:dozen 1:bird *:dozen =:dozen
NET 76 non-negative, integer-valued solutions found out of 124 total solutions
