parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 10 | 77 | 77 | x=(33+44) | x 33 44 + = | x:tree 33:tree 44:tree +:tree =:tree
EXPR: 0 | POS | INT | 10 | 77 | 1452 | (33*44)=x | 33 44 * x = | 33:tree 44:walnut *:walnut x:walnut =:walnut
EXPR: 0 | POS | INT | 10 | 77 | 1452 | x=(33*44) | x 33 44 * = | x:walnut 33:walnut 44:tree *:walnut =:walnut
EXPR: 1 | POS | INT | 10 | 77 | 77 | (33+44)=x | 33 44 + x = | 33:tree 44:tree +:tree x:tree =:tree
EXPR: 0 | POS | INT | 10 | 77 | 1452 | (33*44)=x | 33 44 * x = | 33:walnut 44:tree *:walnut x:walnut =:walnut
EXPR: 0 | POS | INT | 10 | 77 | 1452 | x=(33*44) | x 33 44 * = | x:walnut 33:tree 44:walnut *:walnut =:walnut
EXPR: 0 | POS | INT | 11 | 77 | 1452 | x=(33*44) | x 33 44 * = | x:walnut 33:walnut 44:tree *:walnut =:walnut
EXPR: 1 | POS | INT | 11 | 77 | 77 | (33+44)=x | 33 44 + x = | 33:tree 44:tree +:tree x:tree =:tree
EXPR: 0 | POS | INT | 11 | 77 | 1452 | (33*44)=x | 33 44 * x = | 33:tree 44:walnut *:walnut x:walnut =:walnut
EXPR: 1 | POS | INT | 11 | 77 | 77 | x=(33+44) | x 33 44 + = | x:tree 33:tree 44:tree +:tree =:tree
EXPR: 0 | POS | INT | 11 | 77 | 1452 | x=(33*44) | x 33 44 * = | x:walnut 33:tree 44:walnut *:walnut =:walnut
EXPR: 0 | POS | INT | 11 | 77 | 1452 | (33*44)=x | 33 44 * x = | 33:walnut 44:tree *:walnut x:walnut =:walnut
EXPR: 0 | POS | INT | 12 | 77 | 1452 | (x/33)=44 | x 33 / 44 = | x:walnut 33:tree /:walnut 44:walnut =:walnut
EXPR: 0 | POS | INT | 12 | 77 | 11 | (x+33)=44 | x 33 + 44 = | x:tree 33:tree +:tree 44:tree =:tree
EXPR: 0 | POS | INT | 12 | 77 | 11 | (33+x)=44 | 33 x + 44 = | 33:tree x:tree +:tree 44:tree =:tree
EXPR: 0 | POS | INT | 12 | 77 | 1452 | 33=(x/44) | 33 x 44 / = | 33:walnut x:walnut 44:tree /:walnut =:walnut
EXPR: 1 | POS | INT | 12 | 77 | 77 | (x-33)=44 | x 33 - 44 = | x:tree 33:tree -:tree 44:tree =:tree
EXPR: 1 | POS | INT | 12 | 77 | 77 | 33=(x-44) | 33 x 44 - = | 33:tree x:tree 44:tree -:tree =:tree
EXPR: 0 | POS | INT | 12 | 77 | 11 | 33=(44-x) | 33 44 x - = | 33:tree 44:tree x:tree -:tree =:tree
EXPR: 0 | POS | INT | 12 | 77 | 11 | x=(44-33) | x 44 33 - = | x:tree 44:tree 33:tree -:tree =:tree
EXPR: 0 | POS | INT | 12 | 77 | 11 | (44-33)=x | 44 33 - x = | 44:tree 33:tree -:tree x:tree =:tree
EXPR: 0 | POS | INT | 13 | 77 | 11 | x=(44-33) | x 44 33 - = | x:tree 44:tree 33:tree -:tree =:tree
EXPR: 0 | POS | INT | 13 | 77 | 11 | (44-33)=x | 44 33 - x = | 44:tree 33:tree -:tree x:tree =:tree
EXPR: 1 | POS | INT | 14 | 77 | 77 | (x-44)=33 | x 44 - 33 = | x:tree 44:tree -:tree 33:tree =:tree
EXPR: 0 | POS | INT | 14 | 77 | 11 | 44=(33+x) | 44 33 x + = | 44:tree 33:tree x:tree +:tree =:tree
EXPR: 0 | POS | INT | 14 | 77 | 1452 | 44=(x/33) | 44 x 33 / = | 44:walnut x:walnut 33:tree /:walnut =:walnut
EXPR: 0 | POS | INT | 14 | 77 | 11 | 44=(x+33) | 44 x 33 + = | 44:tree x:tree 33:tree +:tree =:tree
EXPR: 0 | POS | INT | 14 | 77 | 11 | (44-x)=33 | 44 x - 33 = | 44:tree x:tree -:tree 33:tree =:tree
EXPR: 1 | POS | INT | 14 | 77 | 77 | 44=(x-33) | 44 x 33 - = | 44:tree x:tree 33:tree -:tree =:tree
EXPR: 0 | POS | INT | 14 | 77 | 1452 | (x/44)=33 | x 44 / 33 = | x:walnut 44:tree /:walnut 33:walnut =:walnut
EXPR: 0 | POS | INT | 20 | 77 | 1452 | x=(33*44) | x 33 44 * = | x:tree 33:walnut 44:tree *:tree =:tree
EXPR: 0 | POS | INT | 20 | 77 | 1452 | (33*44)=x | 33 44 * x = | 33:walnut 44:tree *:tree x:tree =:tree
EXPR: 1 | POS | INT | 20 | 77 | 77 | x=(33+44) | x 33 44 + = | x:walnut 33:walnut 44:walnut +:walnut =:walnut
EXPR: 1 | POS | INT | 20 | 77 | 77 | (33+44)=x | 33 44 + x = | 33:walnut 44:walnut +:walnut x:walnut =:walnut
EXPR: 0 | POS | INT | 20 | 77 | 1452 | x=(33*44) | x 33 44 * = | x:tree 33:tree 44:walnut *:tree =:tree
EXPR: 0 | POS | INT | 20 | 77 | 1452 | (33*44)=x | 33 44 * x = | 33:tree 44:walnut *:tree x:tree =:tree
EXPR: 0 | POS | INT | 21 | 77 | 1452 | x=(33*44) | x 33 44 * = | x:tree 33:walnut 44:tree *:tree =:tree
EXPR: 0 | POS | INT | 21 | 77 | 1452 | (33*44)=x | 33 44 * x = | 33:walnut 44:tree *:tree x:tree =:tree
EXPR: 1 | POS | INT | 21 | 77 | 77 | x=(33+44) | x 33 44 + = | x:walnut 33:walnut 44:walnut +:walnut =:walnut
EXPR: 1 | POS | INT | 21 | 77 | 77 | (33+44)=x | 33 44 + x = | 33:walnut 44:walnut +:walnut x:walnut =:walnut
EXPR: 0 | POS | INT | 21 | 77 | 1452 | x=(33*44) | x 33 44 * = | x:tree 33:tree 44:walnut *:tree =:tree
EXPR: 0 | POS | INT | 21 | 77 | 1452 | (33*44)=x | 33 44 * x = | 33:tree 44:walnut *:tree x:tree =:tree
EXPR: 0 | POS | INT | 22 | 77 | 11 | (x+33)=44 | x 33 + 44 = | x:walnut 33:walnut +:walnut 44:walnut =:walnut
EXPR: 0 | POS | INT | 22 | 77 | 1452 | (x/33)=44 | x 33 / 44 = | x:tree 33:walnut /:tree 44:tree =:tree
EXPR: 0 | POS | INT | 22 | 77 | 1452 | 33=(x/44) | 33 x 44 / = | 33:tree x:tree 44:walnut /:tree =:tree
EXPR: 0 | POS | INT | 22 | 77 | 11 | (33+x)=44 | 33 x + 44 = | 33:walnut x:walnut +:walnut 44:walnut =:walnut
EXPR: 1 | POS | INT | 22 | 77 | 77 | (x-33)=44 | x 33 - 44 = | x:walnut 33:walnut -:walnut 44:walnut =:walnut
EXPR: 0 | POS | INT | 22 | 77 | 11 | x=(44-33) | x 44 33 - = | x:walnut 44:walnut 33:walnut -:walnut =:walnut
EXPR: 0 | POS | INT | 22 | 77 | 11 | 33=(44-x) | 33 44 x - = | 33:walnut 44:walnut x:walnut -:walnut =:walnut
EXPR: 0 | POS | INT | 22 | 77 | 11 | (44-33)=x | 44 33 - x = | 44:walnut 33:walnut -:walnut x:walnut =:walnut
EXPR: 1 | POS | INT | 22 | 77 | 77 | 33=(x-44) | 33 x 44 - = | 33:walnut x:walnut 44:walnut -:walnut =:walnut
EXPR: 0 | POS | INT | 23 | 77 | 11 | x=(44-33) | x 44 33 - = | x:walnut 44:walnut 33:walnut -:walnut =:walnut
EXPR: 0 | POS | INT | 23 | 77 | 11 | (44-33)=x | 44 33 - x = | 44:walnut 33:walnut -:walnut x:walnut =:walnut
EXPR: 0 | POS | INT | 24 | 77 | 1452 | (x/44)=33 | x 44 / 33 = | x:tree 44:walnut /:tree 33:tree =:tree
EXPR: 0 | POS | INT | 24 | 77 | 1452 | 44=(x/33) | 44 x 33 / = | 44:tree x:tree 33:walnut /:tree =:tree
EXPR: 0 | POS | INT | 24 | 77 | 11 | 44=(33+x) | 44 33 x + = | 44:walnut 33:walnut x:walnut +:walnut =:walnut
EXPR: 1 | POS | INT | 24 | 77 | 77 | (x-44)=33 | x 44 - 33 = | x:walnut 44:walnut -:walnut 33:walnut =:walnut
EXPR: 0 | POS | INT | 24 | 77 | 11 | 44=(x+33) | 44 x 33 + = | 44:walnut x:walnut 33:walnut +:walnut =:walnut
EXPR: 0 | POS | INT | 24 | 77 | 11 | (44-x)=33 | 44 x - 33 = | 44:walnut x:walnut -:walnut 33:walnut =:walnut
EXPR: 1 | POS | INT | 24 | 77 | 77 | 44=(x-33) | 44 x 33 - = | 44:walnut x:walnut 33:walnut -:walnut =:walnut
NET 60 non-negative, integer-valued solutions found out of 136 total solutions
