parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 28 solutions found
EXPR: 1 | POS | INT | 0 | 111421 | 111421 | (61921+49500)=x | 61921 49500 + x = | 61921:yard 49500:yard +:yard x:yard =:yard
EXPR: 0 | POS | INT | 0 | 111421 | 12421 | x=(61921-49500) | x 61921 49500 - = | x:yard 61921:yard 49500:yard -:yard =:yard
EXPR: 0 | POS | INT | 0 | 111421 | 12421 | (61921-49500)=x | 61921 49500 - x = | 61921:yard 49500:yard -:yard x:yard =:yard
EXPR: 1 | POS | INT | 0 | 111421 | 111421 | x=(61921+49500) | x 61921 49500 + = | x:yard 61921:yard 49500:yard +:yard =:yard
EXPR: 0 | POS | INT | 1 | 111421 | 12421 | x=(61921-49500) | x 61921 49500 - = | x:yard 61921:yard 49500:yard -:yard =:yard
EXPR: 1 | POS | INT | 1 | 111421 | 111421 | x=(61921+49500) | x 61921 49500 + = | x:yard 61921:yard 49500:yard +:yard =:yard
EXPR: 1 | POS | INT | 1 | 111421 | 111421 | (61921+49500)=x | 61921 49500 + x = | 61921:yard 49500:yard +:yard x:yard =:yard
EXPR: 0 | POS | INT | 1 | 111421 | 12421 | (61921-49500)=x | 61921 49500 - x = | 61921:yard 49500:yard -:yard x:yard =:yard
EXPR: 0 | POS | INT | 2 | 111421 | 12421 | 61921=(49500+x) | 61921 49500 x + = | 61921:yard 49500:yard x:yard +:yard =:yard
EXPR: 0 | POS | INT | 2 | 111421 | 12421 | 61921=(x+49500) | 61921 x 49500 + = | 61921:yard x:yard 49500:yard +:yard =:yard
EXPR: 1 | POS | INT | 2 | 111421 | 111421 | (x-61921)=49500 | x 61921 - 49500 = | x:yard 61921:yard -:yard 49500:yard =:yard
EXPR: 1 | POS | INT | 2 | 111421 | 111421 | 61921=(x-49500) | 61921 x 49500 - = | 61921:yard x:yard 49500:yard -:yard =:yard
EXPR: 0 | POS | INT | 2 | 111421 | 12421 | (61921-x)=49500 | 61921 x - 49500 = | 61921:yard x:yard -:yard 49500:yard =:yard
EXPR: 1 | POS | INT | 4 | 111421 | 111421 | (x-49500)=61921 | x 49500 - 61921 = | x:yard 49500:yard -:yard 61921:yard =:yard
EXPR: 0 | POS | INT | 4 | 111421 | 12421 | (x+49500)=61921 | x 49500 + 61921 = | x:yard 49500:yard +:yard 61921:yard =:yard
EXPR: 1 | POS | INT | 4 | 111421 | 111421 | 49500=(x-61921) | 49500 x 61921 - = | 49500:yard x:yard 61921:yard -:yard =:yard
EXPR: 0 | POS | INT | 4 | 111421 | 12421 | 49500=(61921-x) | 49500 61921 x - = | 49500:yard 61921:yard x:yard -:yard =:yard
EXPR: 0 | POS | INT | 4 | 111421 | 12421 | (49500+x)=61921 | 49500 x + 61921 = | 49500:yard x:yard +:yard 61921:yard =:yard
NET 18 non-negative, integer-valued solutions found out of 28 total solutions
