parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 0 | POS | INT | 0 | 42 | 68 | x=(13+55) | x 13 55 + = | x:peach 13:peach 55:peach +:peach =:peach
EXPR: 0 | POS | INT | 0 | 42 | 68 | (13+55)=x | 13 55 + x = | 13:peach 55:peach +:peach x:peach =:peach
EXPR: 0 | POS | INT | 1 | 42 | 68 | x=(13+55) | x 13 55 + = | x:peach 13:peach 55:peach +:peach =:peach
EXPR: 0 | POS | INT | 1 | 42 | 68 | (13+55)=x | 13 55 + x = | 13:peach 55:peach +:peach x:peach =:peach
EXPR: 0 | POS | INT | 2 | 42 | 68 | (x-13)=55 | x 13 - 55 = | x:peach 13:peach -:peach 55:peach =:peach
EXPR: 1 | POS | INT | 2 | 42 | 42 | x=(55-13) | x 55 13 - = | x:peach 55:peach 13:peach -:peach =:peach
EXPR: 1 | POS | INT | 2 | 42 | 42 | (55-13)=x | 55 13 - x = | 55:peach 13:peach -:peach x:peach =:peach
EXPR: 1 | POS | INT | 2 | 42 | 42 | (x+13)=55 | x 13 + 55 = | x:peach 13:peach +:peach 55:peach =:peach
EXPR: 1 | POS | INT | 2 | 42 | 42 | (13+x)=55 | 13 x + 55 = | 13:peach x:peach +:peach 55:peach =:peach
EXPR: 0 | POS | INT | 2 | 42 | 68 | 13=(x-55) | 13 x 55 - = | 13:peach x:peach 55:peach -:peach =:peach
EXPR: 1 | POS | INT | 2 | 42 | 42 | 13=(55-x) | 13 55 x - = | 13:peach 55:peach x:peach -:peach =:peach
EXPR: 1 | POS | INT | 3 | 42 | 42 | x=(55-13) | x 55 13 - = | x:peach 55:peach 13:peach -:peach =:peach
EXPR: 1 | POS | INT | 3 | 42 | 42 | (55-13)=x | 55 13 - x = | 55:peach 13:peach -:peach x:peach =:peach
EXPR: 0 | POS | INT | 4 | 42 | 68 | (x-55)=13 | x 55 - 13 = | x:peach 55:peach -:peach 13:peach =:peach
EXPR: 1 | POS | INT | 4 | 42 | 42 | (55-x)=13 | 55 x - 13 = | 55:peach x:peach -:peach 13:peach =:peach
EXPR: 0 | POS | INT | 4 | 42 | 68 | 55=(x-13) | 55 x 13 - = | 55:peach x:peach 13:peach -:peach =:peach
EXPR: 1 | POS | INT | 4 | 42 | 42 | 55=(13+x) | 55 13 x + = | 55:peach 13:peach x:peach +:peach =:peach
EXPR: 1 | POS | INT | 4 | 42 | 42 | 55=(x+13) | 55 x 13 + = | 55:peach x:peach 13:peach +:peach =:peach
EXPR: 0 | POS | INT | 10 | 42 | 715 | (13*55)=x | 13 55 * x = | 13:peach 55:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 42 | 715 | x=(13*55) | x 13 55 * = | x:peach 13:NONE 55:peach *:peach =:peach
EXPR: 0 | POS | INT | 10 | 42 | 715 | (13*55)=x | 13 55 * x = | 13:NONE 55:peach *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 42 | 715 | (13*55)=x | 13 55 * x = | 13:NONE 55:peach *:peach x:peach =:peach
EXPR: 0 | POS | INT | 10 | 42 | 715 | x=(13*55) | x 13 55 * = | x:NONE 13:peach 55:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 42 | 715 | (13*55)=x | 13 55 * x = | 13:peach 55:NONE *:peach x:peach =:peach
EXPR: 0 | POS | INT | 10 | 42 | 715 | x=(13*55) | x 13 55 * = | x:peach 13:peach 55:NONE *:peach =:peach
EXPR: 0 | POS | INT | 10 | 42 | 715 | x=(13*55) | x 13 55 * = | x:NONE 13:NONE 55:peach *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 42 | 715 | (13*55)=x | 13 55 * x = | 13:NONE 55:peach *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 42 | 715 | x=(13*55) | x 13 55 * = | x:peach 13:NONE 55:peach *:peach =:peach
EXPR: 0 | POS | INT | 11 | 42 | 715 | x=(13*55) | x 13 55 * = | x:NONE 13:NONE 55:peach *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 42 | 715 | (13*55)=x | 13 55 * x = | 13:NONE 55:peach *:peach x:peach =:peach
EXPR: 0 | POS | INT | 11 | 42 | 715 | x=(13*55) | x 13 55 * = | x:NONE 13:peach 55:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 42 | 715 | (13*55)=x | 13 55 * x = | 13:peach 55:NONE *:peach x:peach =:peach
EXPR: 0 | POS | INT | 11 | 42 | 715 | (13*55)=x | 13 55 * x = | 13:peach 55:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 42 | 715 | x=(13*55) | x 13 55 * = | x:peach 13:peach 55:NONE *:peach =:peach
EXPR: 0 | POS | INT | 12 | 42 | 715 | 13=(x/55) | 13 x 55 / = | 13:peach x:peach 55:NONE /:peach =:peach
EXPR: 0 | POS | INT | 12 | 42 | 715 | (x/13)=55 | x 13 / 55 = | x:peach 13:NONE /:peach 55:peach =:peach
EXPR: 0 | POS | INT | 12 | 42 | 715 | 13=(x/55) | 13 x 55 / = | 13:NONE x:NONE 55:peach /:NONE =:NONE
EXPR: 0 | POS | INT | 12 | 42 | 715 | (x/13)=55 | x 13 / 55 = | x:NONE 13:peach /:NONE 55:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 42 | 715 | (x/55)=13 | x 55 / 13 = | x:NONE 55:peach /:NONE 13:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 42 | 715 | (x/55)=13 | x 55 / 13 = | x:peach 55:NONE /:peach 13:peach =:peach
EXPR: 0 | POS | INT | 14 | 42 | 715 | 55=(x/13) | 55 x 13 / = | 55:NONE x:NONE 13:peach /:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 42 | 715 | 55=(x/13) | 55 x 13 / = | 55:peach x:peach 13:NONE /:peach =:peach
EXPR: 0 | POS | INT | 20 | 42 | 68 | x=(13+55) | x 13 55 + = | x:NONE 13:NONE 55:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 20 | 42 | 68 | (13+55)=x | 13 55 + x = | 13:NONE 55:NONE +:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 42 | 68 | x=(13+55) | x 13 55 + = | x:NONE 13:NONE 55:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 42 | 68 | (13+55)=x | 13 55 + x = | 13:NONE 55:NONE +:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 42 | 68 | (x-13)=55 | x 13 - 55 = | x:NONE 13:NONE -:NONE 55:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 42 | 42 | (x+13)=55 | x 13 + 55 = | x:NONE 13:NONE +:NONE 55:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 42 | 42 | x=(55-13) | x 55 13 - = | x:NONE 55:NONE 13:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 42 | 42 | (13+x)=55 | 13 x + 55 = | 13:NONE x:NONE +:NONE 55:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 42 | 68 | 13=(x-55) | 13 x 55 - = | 13:NONE x:NONE 55:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 42 | 42 | 13=(55-x) | 13 55 x - = | 13:NONE 55:NONE x:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 42 | 42 | (55-13)=x | 55 13 - x = | 55:NONE 13:NONE -:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 23 | 42 | 42 | x=(55-13) | x 55 13 - = | x:NONE 55:NONE 13:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 23 | 42 | 42 | (55-13)=x | 55 13 - x = | 55:NONE 13:NONE -:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 42 | 68 | (x-55)=13 | x 55 - 13 = | x:NONE 55:NONE -:NONE 13:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 42 | 42 | (55-x)=13 | 55 x - 13 = | 55:NONE x:NONE -:NONE 13:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 42 | 68 | 55=(x-13) | 55 x 13 - = | 55:NONE x:NONE 13:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 42 | 42 | 55=(x+13) | 55 x 13 + = | 55:NONE x:NONE 13:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 42 | 42 | 55=(13+x) | 55 13 x + = | 55:NONE 13:NONE x:NONE +:NONE =:NONE
NET 60 non-negative, integer-valued solutions found out of 136 total solutions
