parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 0 | 17 | 17 | (35-18)=x | 35 18 - x = | 35:seashell 18:seashell -:seashell x:seashell =:seashell
EXPR: 1 | POS | INT | 0 | 17 | 17 | x=(35-18) | x 35 18 - = | x:seashell 35:seashell 18:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 0 | 17 | 53 | x=(35+18) | x 35 18 + = | x:seashell 35:seashell 18:seashell +:seashell =:seashell
EXPR: 0 | POS | INT | 0 | 17 | 53 | (35+18)=x | 35 18 + x = | 35:seashell 18:seashell +:seashell x:seashell =:seashell
EXPR: 1 | POS | INT | 1 | 17 | 17 | x=(35-18) | x 35 18 - = | x:seashell 35:seashell 18:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 1 | 17 | 53 | x=(35+18) | x 35 18 + = | x:seashell 35:seashell 18:seashell +:seashell =:seashell
EXPR: 1 | POS | INT | 1 | 17 | 17 | (35-18)=x | 35 18 - x = | 35:seashell 18:seashell -:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 1 | 17 | 53 | (35+18)=x | 35 18 + x = | 35:seashell 18:seashell +:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 2 | 17 | 53 | (x-35)=18 | x 35 - 18 = | x:seashell 35:seashell -:seashell 18:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 17 | 17 | (35-x)=18 | 35 x - 18 = | 35:seashell x:seashell -:seashell 18:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 17 | 17 | 35=(x+18) | 35 x 18 + = | 35:seashell x:seashell 18:seashell +:seashell =:seashell
EXPR: 0 | POS | INT | 2 | 17 | 53 | 35=(x-18) | 35 x 18 - = | 35:seashell x:seashell 18:seashell -:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 17 | 17 | 35=(18+x) | 35 18 x + = | 35:seashell 18:seashell x:seashell +:seashell =:seashell
EXPR: 0 | POS | INT | 4 | 17 | 53 | (x-18)=35 | x 18 - 35 = | x:seashell 18:seashell -:seashell 35:seashell =:seashell
EXPR: 1 | POS | INT | 4 | 17 | 17 | (x+18)=35 | x 18 + 35 = | x:seashell 18:seashell +:seashell 35:seashell =:seashell
EXPR: 1 | POS | INT | 4 | 17 | 17 | (18+x)=35 | 18 x + 35 = | 18:seashell x:seashell +:seashell 35:seashell =:seashell
EXPR: 1 | POS | INT | 4 | 17 | 17 | 18=(35-x) | 18 35 x - = | 18:seashell 35:seashell x:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 4 | 17 | 53 | 18=(x-35) | 18 x 35 - = | 18:seashell x:seashell 35:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 17 | 630 | (35*18)=x | 35 18 * x = | 35:seashell 18:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 17 | 630 | x=(35*18) | x 35 18 * = | x:seashell 35:NONE 18:seashell *:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 17 | 630 | (35*18)=x | 35 18 * x = | 35:NONE 18:seashell *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 17 | 630 | (35*18)=x | 35 18 * x = | 35:NONE 18:seashell *:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 17 | 630 | x=(35*18) | x 35 18 * = | x:NONE 35:seashell 18:NONE *:NONE =:NONE
