parameters: n=7 l=3 k=1 p=5 q=3 m=9
TOTAL 1000 solutions found
EXPR: 1 | POS | INT | 2 | 56 | 56 | 84=((x/8)*12) | 84 x 8 / 12 * = | 84:marble x:dozen 8:melanie /:dozen 12:marble *:marble =:marble
EXPR: 1 | POS | INT | 2 | 56 | 56 | ((84*8)/x)=12 | 84 8 * x / 12 = | 84:marble 8:melanie *:marble x:dozen /:marble 12:marble =:marble
EXPR: 1 | POS | INT | 2 | 56 | 56 | ((84/x)*8)=12 | 84 x / 8 * 12 = | 84:marble x:dozen /:marble 8:melanie *:marble 12:marble =:marble
EXPR: 1 | POS | INT | 2 | 56 | 56 | (84*(8/x))=12 | 84 8 x / * 12 = | 84:marble 8:melanie x:dozen /:melanie *:marble 12:marble =:marble
EXPR: 1 | POS | INT | 4 | 56 | 56 | 84=((12/8)*x) | 84 12 8 / x * = | 84:marble 12:marble 8:melanie /:marble x:dozen *:marble =:marble
EXPR: 1 | POS | INT | 7 | 56 | 56 | ((x/8)*12)=84 | x 8 / 12 * 84 = | x:dozen 8:melanie /:dozen 12:marble *:marble 84:marble =:marble
EXPR: 1 | POS | INT | 7 | 56 | 56 | 12=(84*(8/x)) | 12 84 8 x / * = | 12:marble 84:marble 8:melanie x:dozen /:melanie *:marble =:marble
EXPR: 1 | POS | INT | 9 | 56 | 56 | (x*(12/8))=84 | x 12 8 / * 84 = | x:dozen 12:marble 8:melanie /:marble *:marble 84:marble =:marble
EXPR: 1 | POS | INT | 9 | 56 | 56 | ((x*12)/8)=84 | x 12 * 8 / 84 = | x:dozen 12:marble *:marble 8:melanie /:marble 84:marble =:marble
EXPR: 1 | POS | INT | 9 | 56 | 56 | 12=((8/x)*84) | 12 8 x / 84 * = | 12:marble 8:melanie x:dozen /:melanie 84:marble *:marble =:marble
EXPR: 1 | POS | INT | 9 | 56 | 56 | ((12/8)*x)=84 | 12 8 / x * 84 = | 12:marble 8:melanie /:marble x:dozen *:marble 84:marble =:marble
EXPR: 1 | POS | INT | 9 | 56 | 56 | (12*(x/8))=84 | 12 x 8 / * 84 = | 12:marble x:dozen 8:melanie /:dozen *:marble 84:marble =:marble
EXPR: 1 | POS | INT | 9 | 56 | 56 | 12=(8*(84/x)) | 12 8 84 x / * = | 12:marble 8:melanie 84:marble x:dozen /:marble *:marble =:marble
EXPR: 0 | POS | INT | 10 | 56 | 180 | x=(84+(8*12)) | x 84 8 12 * + = | x:marble 84:marble 8:melanie 12:marble *:marble +:marble =:marble
EXPR: 1 | POS | INT | 10 | 56 | 56 | ((84*8)/12)=x | 84 8 * 12 / x = | 84:marble 8:melanie *:melanie 12:marble /:melanie x:melanie =:melanie
EXPR: 1 | POS | INT | 10 | 56 | 56 | x=((84*8)/12) | x 84 8 * 12 / = | x:dozen 84:dozen 8:melanie *:dozen 12:marble /:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 56 | 126 | x=((84/8)*12) | x 84 8 / 12 * = | x:dozen 84:dozen 8:melanie /:dozen 12:marble *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 56 | 126 | x=((84/8)*12) | x 84 8 / 12 * = | x:dozen 84:marble 8:melanie /:marble 12:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 56 | 56 | (84*(8/12))=x | 84 8 12 / * x = | 84:marble 8:dozen 12:marble /:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 56 | 56 | x=(84*(8/12)) | x 84 8 12 / * = | x:dozen 84:dozen 8:melanie 12:marble /:melanie *:dozen =:dozen
