parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 0 | POS | INT | 0 | 12 | 2 | (7-5)=x | 7 5 - x = | 7:nickel 5:nickel -:nickel x:nickel =:nickel
EXPR: 0 | POS | INT | 0 | 12 | 2 | x=(7-5) | x 7 5 - = | x:nickel 7:nickel 5:nickel -:nickel =:nickel
EXPR: 1 | POS | INT | 0 | 12 | 12 | x=(7+5) | x 7 5 + = | x:nickel 7:nickel 5:nickel +:nickel =:nickel
EXPR: 1 | POS | INT | 0 | 12 | 12 | (7+5)=x | 7 5 + x = | 7:nickel 5:nickel +:nickel x:nickel =:nickel
EXPR: 0 | POS | INT | 1 | 12 | 2 | x=(7-5) | x 7 5 - = | x:nickel 7:nickel 5:nickel -:nickel =:nickel
EXPR: 1 | POS | INT | 1 | 12 | 12 | x=(7+5) | x 7 5 + = | x:nickel 7:nickel 5:nickel +:nickel =:nickel
EXPR: 0 | POS | INT | 1 | 12 | 2 | (7-5)=x | 7 5 - x = | 7:nickel 5:nickel -:nickel x:nickel =:nickel
EXPR: 1 | POS | INT | 1 | 12 | 12 | (7+5)=x | 7 5 + x = | 7:nickel 5:nickel +:nickel x:nickel =:nickel
EXPR: 1 | POS | INT | 2 | 12 | 12 | (x-7)=5 | x 7 - 5 = | x:nickel 7:nickel -:nickel 5:nickel =:nickel
EXPR: 0 | POS | INT | 2 | 12 | 2 | (7-x)=5 | 7 x - 5 = | 7:nickel x:nickel -:nickel 5:nickel =:nickel
EXPR: 0 | POS | INT | 2 | 12 | 2 | 7=(x+5) | 7 x 5 + = | 7:nickel x:nickel 5:nickel +:nickel =:nickel
EXPR: 1 | POS | INT | 2 | 12 | 12 | 7=(x-5) | 7 x 5 - = | 7:nickel x:nickel 5:nickel -:nickel =:nickel
EXPR: 0 | POS | INT | 2 | 12 | 2 | 7=(5+x) | 7 5 x + = | 7:nickel 5:nickel x:nickel +:nickel =:nickel
EXPR: 1 | POS | INT | 4 | 12 | 12 | (x-5)=7 | x 5 - 7 = | x:nickel 5:nickel -:nickel 7:nickel =:nickel
EXPR: 0 | POS | INT | 4 | 12 | 2 | (x+5)=7 | x 5 + 7 = | x:nickel 5:nickel +:nickel 7:nickel =:nickel
